"<iframe src=""https://player.vimeo.com/video/708654015?h=c69c94c1b9"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",SORTIERUNG,AUSSTELLUNGSTITEL / PROJEKTTITEL (max. 60 ZmL),UNTERTITEL DE (max. 150 ZmL),UNTERTITEL EN (ÜBERNIMMT MAGDALENA)  (max. 150 ZmL),DATUM ,ZEIT START,ZEIT ENDE,ORT (UNI),STOCKWERK,RAUMBEZEICHNUNG  / Zusatz,ADRESSE TITEL,ADRESSE GASSE ,ADRESSE PLZ,ADRESSE MAPS LINK,FORMAT (Festivalprogramm) ,ABTEILUNG,INSTITUT ,TEXT KURZ DE (300-600 ZmL) ,TEXT KURZ EN PROJEKTTEXT (300-600 ZmL) ÜBERNIMMT MAGDALENA,YOUTUBE,VIMEO,SOUNDCLOUD,PROJEKTWEBSITE,NOTIZ HARDFACTS ÜBERSCHRIFT DE,NOTIZ HARDFACTS TEXT DE,NOTIZ HARDFACTS ÜBERSCHRIFT EN ,NOTIZ HARDFACTS TEXT EN ,NOTIZ COPYTEXT ÜBERSCHRIFT DE,NOTIZ COPYTEXT TEXT DE ,NOTIZ COPYTEXT ÜBERSCHRIFT EN,NOTIZ COPYTEXT TEXT EN,AAA (Angewandte Abschluss Arbeiten):, 
99,16,[APPLIED] FOREIGN AFFAIRS website launch,,,2022-06-30,18:00,,OKP-Schwanzer-Trakt,030,[A]FA office,,,,,Diskurs,[applied] Foreign Affairs,Institut für Architektur,"[A]FA feiert den Launch seiner neuen Webseite, auf der alle Projekte vorgestellt werden, die seit 2011 in der DR Kongo, in Ghana, Guinea, Nigeria, im Irak und in Syrien mit Studierenden aus über 33 Ländern durchgeführt wurden. Klicken Sie sich durch die verschiedenen Forschungsprojekte und Umsetzungen, die [A]FAs thematischen Fokus darstellen. Nach einzelnen Projekten strukturiert, lädt die Website ein, die jeweiligen damit einhergehenden Kontexte, Prozesse, Arbeiten, Diskurse, Events und Publikationen zu entdecken. Die Website wurde zusammen mit dem „grafischen Büro"" entwickelt.","[A]FA celebrates the launch of its new website, presenting all projects carried out since 2011 in DR Congo, Ghana, Guinea, Nigeria, Iraq, and Syria with students from over 33 countries. Click through the various research projects and manifestations representing [A]FA’s thematic focus. Structured according to individual projects, the website invites you to discover the associated contexts, processes, works, discourses, events, and publications. The website was developed together with the “graphic office.”",,,,appliedforeignaffairs.net,,,,,Beteiligte ,Studierende und Mitarbeiter*innen der Abteilung [APPLIED] FOREIGN AFFAIRS,Contributers,Students and staff of the Department of [APPLIED] FOREIGN AFFAIRS,,
100,17,Fensterbar,Drinks with Klasse für Alle,Drinks with Klasse für Alle,2022-06-30,18:00,21:00,VIE,Universitätsgalerie der Angewandten im Heiligenkreuzer Hof,,,,,,Diskurs,Klasse für Alle,Klasse für Alle,Nach drei Tagen der Interventionen und Workshops wird die Fenster-Bar hinter den Containern endlich wiedereröffnet. Beehren Sie uns für einen bedeutsamen Drink!,"Following three days of interventions and workshops, the window bar behind the containers will finally be re-opened. Join us for a meaningful drink!",,,,,,,,,,,,,,
101,18,Date with a book,Erzähle anderen von deinem Lieblingsbuch,Tell Others About Your Favorite Book,2022-06-30,18:30,21:00,VZA 7,050,Universitätsbibliothek,,,,,Diskurs,Universitätsbibliothek,Universitätsbibliothek,"Die Universitätsbibliothek lädt ein. Am Donnerstag, 30. Juni geht es um deinen persönlichen Buchfavoriten: Maximal 20 Teilnehmer*innen erzählen einander – dem Format Speeddating folgend – in jeweils vier Minuten von ihrem Lieblingsbuch. Damit ihr euch erfrischen könnt, wird die Infotheke zur Bartheke umfunktioniert.
Interessiert? Dann bitte bis 28. Juni anmelden: bookdate@uni-ak.ac.at und zum Bookdate dein Lieblingsbuch mitbringen.

Öffnunsgzeiten der Universitätsbibliothek beim Angewandte Festival 
Di (2022-06-28) – Do (30. 6.), 11:00–18:00 Uhr, Fr (1. 7.), 11:00–16:00 Uhr","The university library opens its doors. On Thursday, June 30, it's all about your personal favorites: a maximum of 20 participants will tell each other in four minutes about their favorite books in speed-dating format. For refreshments, the information desk will be converted into a bar.
Interested? Then please register by June 28: bookdate@uni-ak.ac.at—and don’t forget to bring your favorite book to the bookdate!

Opening hours of the University Library during the Angewandte Festival: 
Tuesday–Thursday 11 a.m. to 6 p.m.
Friday 11 a.m. to 4 p.m.",,,,,,,,,Beteiligte ,Mitarbeiter*innen der Universitätsbibliothek der Angewandten ,Contributers,Staff of the University Library of the Angewandte,,
102,19,"SOCIAL DESIGN for Co-HATY 
",Flohmarkt für Iwano-Frankiwsk,Flee market for Iwano-Frankiwsk,2022-07-01,13:00,21:00,VZA 7,040,Social Design Studio,,,,,Intervention,Social Design,Institut für Kunst und Gesellschaft,"Social Design Studio organisiert einen Flohmarkt mit dem Ziel, so das Projekt Co-Haty, übersetzt Co-Housing, zu unterstützen. Entstanden in der westukrainischen Stadt Iwano-Frankiwsk als Reaktion auf den durch den Krieg akut gewordenen Bedarf an Wohnmöglichkeiten, beschäftigt sich das Projekt mit der Schaffung und Renovierung von Unterkünften für vertriebene Menschen in der Ukraine. Das Projekt stellt eine Initiative von Lehrenden der Nationalen Technischen Universität für Öl und Gas Iwano-Frankiwsk dar und wird in Kooperation mit dem Stadtlabor Metalab umgesetzt.

metalab.space","Social Design Studio has organized a flea market with the aim of supporting the project Co-Haty, which translates as “co-housing.” Created in the Western Ukrainian city of Ivano-Frankivsk as a response to the urgent need for homes brought about by the war, the project is involved in creating and renovating shelters for IDPs (internally displaced persons) in the Ukraine. Initiated by a group of teachers from Ivano-Frankivsk National Technical University of Oil and Gas, it is being implemented in cooperation with the urban laboratory Metalab. metalab.space",,,,https://www.metalab.space/housing-ivano-frankivsk-2022?fbclid=IwAR2-OnFEACq9FoHK-PWkrskgdLbbizcKhyG99T7xtUEGmBsvqn5g9fy0C_o ,,,,,Beteiligte ,Studierende der Abteilung Social Design ,Contributers,Students of the Department of Social Design,,
103,20,Was sind Experimental Game Cultures?,Zur Begrifflichkeit Experimental Game Cultures,On the Terminologies of Experimental Game Cultures,2022-06-29,17:00,,PSK,010,Raum 151,,,,,Film,Experimental Game Cultures,Institut für Kunst und Gesellschaft,"Aspekte der inhaltlichen Ausrichtung des künstlerisch orientierten Studienbereichs Experimental Game Cultures werden in einem 3D-Game im „LUFTSCHIFF PSK savings hall"" demonstriert: Studierende und Lehrende erspielen sich gemeinsam den „Raum“ in der ehemaligen PSK-Kassenhalle in der Wiener Innenstadt, dem einem Luftschiff gleichen Gebäude, das nun die Homebase des Studiengangs bildet. Es wird hier der Versuch unternommen, Begrifflichkeit aus Game, Kultur und Spiel neu zu besetzen, wo notwendig, zu definieren, wenn sinnvoll, neu zu denken.

17:30 Uhr, Informationen für Bewerber*innen – Im Anschluss an das Screening gibt es die Möglichkeit für Interessent*innen, sich vor Ort über den neuen Studienzweig zu informieren.  ","Aspects of the thematic focus of the artistically oriented Experimental Game Cultures field of study are presented in a 3D game in the Austrian Postal Savings Bank: students and lecturers play together in the main hall of the former PSK savings bank in Vienna’s city center, a building resembling an airship that now serves as the program’s home base. An attempt is made here to reclaim the terminology of game, culture, and play, and to redefine or rethink it where necessary. 

After the screening, there will be an opportunity for prospective students to learn about the new course of study. ","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/PUq_gVHkVyY"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",,,,,,,,Beteiligte ,Studierende und Lehrende der Abteilung Experimental Game Cultures,Contributers,Students and staff of the Department of Experimental Game Cultures,,
104,21,Best of Animation,Open-Air-Film-Screening,Open-Air-Film-Screening,2022-06-29,21:30,,OKP-Ferstel-Trakt,004,Innenhof,,,,,Film,Malerei und Animationsfilm,Institut für Bildende und Mediale Kunst,"Ausgehend von den formalen Aspekten der Malerei (Textur, Farbe, Linie, Form) erforschen die Studierenden verschiedene narrative und abstrakte Möglichkeiten des animierten Films. Die eklektische Auswahl innovativer Zugänge und Techniken umfasst einige der aufregendsten, fesselndsten und berührendsten Filme im Bereich der Animation. Für Prof. Judith Eisler verkörpern sowohl Malerei als auch Animationsfilm eine Entfaltung der Zeit.","Taking the formal aspects of painting (texture, color, line, form) as their point of departure, students explore the various narrative and abstract possibilities of animated film. The eclectic selection of innovative approaches and techniques presents some of the most exciting, compelling, and emotionally powerful films in the medium of animation.
For Prof. Judith Eisler, both painting and animated film are media that represent the unfolding of time.
",,,,,,,,,Beteiligte ,"Silvia Knödlstorfer, Janka Dosa, Caro Laa, Florentin Scheicher, Shadab Shayegan, Sebastian Doringer, Felix Weisz, Jiyoon Lee",Contributers,"Silvia Knödlstorfer, Janka Dosa, Caro Laa, Florentin Scheicher, Shadab Shayegan, Sebastian Doringer, Felix Weisz, Jiyoon Lee",,
105,22,Neuromatic Mycelium Wood Walk World,"Ein Spiel-film mit EEG, Myzelien, Wald und Welt.","A (Game-)Film with EEG, Mycelia, Woods and World.",2022-06-30,15.00,,PSK,010,Raum 152,,,,,Film,Zentrum Fokus Forschung,,"15-minütiger Film, der einen performativen Waldspaziergang mit EEG-Haube (EEG Woodwalk) als verbindendes dramaturgisches Moment nutzt. Der Spaziergang im Wald bezieht sich auf die Verbindung von Hirnwellenmustern mit leitendem pflanzlichem Mycelium. In sieben Kapiteln der Reflexion zum Forschungsprojekt werden unterschiedliche Experimente mit kognitiver Selbstwahrnehmung, Welt- und Selbstmessung thematisiert. Als Let´s-Play-Video wird der Fortschritt der künstlerischen Forschung dialogisch im Austausch mit einer computergenerierten Stimme kommentiert.","A fifteen-minute film that uses a performative walk in the forest with an EEG cap (EEG Woodwalk) as a connecting dramaturgical moment. The walk in the forest refers to the connection of brainwave patterns with conductive plant mycelium. In seven chapters of reflection on the research project, various experiments with cognitive self-awareness and measurement of the world and the self are addressed. As a “Let’s Play” video, the progress of artistic research is commented on in dialogue with a computer-generated voice.","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/9t5ZaVDbzh8"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",,,neuromatic.uni-ak.ac.at,,,,,Beteiligte ,"Projektteam: Stefan Glasauer, Margarete Jahrmann und Thomas Wagensommerer",Contributers,"Project Team: Stefan Glasauer, Margarete Jahrmann, Thomas Wagensommerer",,
106,23,Kriegsbilder,Kino aus der Ukraine. Ein Bunker für die Kultur,Cinema from Ukraine. A Bunker for Culture,2022-07-01,19:00,21:00,VZA 7,040,Social Design Studio,,,,,Film,,,"„Kriegsbilder"" ist eine Initiative von acht Künstler*innen der Universität für angewandte Kunst Wien. Seit dem Beginn der Kriegshandlungen organisieren wir karitative Screenings von zeitgenössichen ukrainischen Filmen – mit dem Hauptziel, die ukrainische Kultur zu bewahren und breiter bekannt zu machen. Außerdem sammeln wir so Spenden, um in dieser albtraumhaften Zeit humanitäre Hilfe für Zivilbevölkerung und Geflüchtete leisten zu können.","“Kriegsbilder” (War Pictures) is an initiative founded by eight artists from the University of Applied Arts of
 Vienna. Since the beginning of the war, we have been organizing charity screenings of contemporary Ukrainian movies. Our main goal is to preserve Ukrainian culture and make it better known. We’re also collecting donations to provide humanitarian aid to civilians and refugees to support our people in these nightmarish times.",,,,instagram.com/kriegsbilder_ua,,,,,Beteiligte ,"Margo Dubovska, Mariia Tolmachova, Anton Kvitchuk, Mehrdad Darafshi, Moritz Wunderwald, Mark Chehodaiev, Rita Kulyk, Ivan Sai ",Contributers,"Margo Dubovska, Mariia Tolmachova, Anton Kvitchuk, Mehrdad Darafshi, Moritz Wunderwald, Mark Chehodaiev, Rita Kulyk, Ivan Sai",,
107,24,Führungen durch die Ausstellungen der Abteilungen,,,2022-06-28,15:00,,Oskar-Kokoschka-Platz,,Start beim OKP Infopoint,,,,,Führung,"Grafik Design, Industrial Design 1, Industrial Design 2, Architekturentwurf 1, Architekturentwurf 2, Architekturentwurf 3",,"Studierende der Angewandten führen zu Abschlussarbeiten und Ausstellungen unterschiedlicher Abteilungen. Jeweils um 15:00 und 18:00 Uhr starten die Führungen beim Infopoint am Oskar-Kokoschka-Platz. Sie besuchen die verschiedenen Häuser der Angewandten und treffen auf Lehrende und Studierende, die über die Arbeiten erzählen. Um eine vorherige Anmeldung wird gebeten, aber auch spontane Gäste sind willkommen, sofern noch Plätze verfügbar sind. 
Anmeldung: angewandtefestival.at/anmeldung

Di, 28. Juni, 15:00 Uhr, Führung mit Gabriel Huth, Studierender der Abteilung Skulptur und Raum, zu Abschlussarbeiten und Ausstellungen der Abteilungen Grafik Design, Industrial Design 2 (Design Investigations), Industrial Design 1 und des Instituts für Architektur

","Angewandte students will be leading visitors to the theses and exhibitions of the various departments. The tours begin at 3:00 and 6:00 p.m. at the information point on Oskar-Kokoschka-Platz to visit the various buildings of the Angewandte and hear teachers and students talk about their work. Prior registration is requested, but spontaneous guests are also welcome, provided there are still places available.
Registration: appliedfestival.at/anmeldung

Tues., June 28, 3:00 p.m.: guided tour with Gabriel Huth, student of the Sculpture and Space department, to final theses and exhibitions of the Graphic Design, Industrial Design 2 (Design Investigations), and Industrial Design 1 departments, as well as the Institute of Architecture 

",,,,,,,,,Beteiligte ,Gabriel Huth,Contributers,Gabriel Huth,,
107,24,Führungen durch die Ausstellungen der Abteilungen,,,2022-06-28,18:00,,Oskar-Kokoschka-Platz,,Start beim OKP Infopoint,,,,,Führung,"Konservierung und Restaurierung, Expanded Museum Studies,  Kunst & Kommunikative Praxis, Master Kunst- und Kulturwissenschaften, Design, Architektur & Environment für Kunstpädagogik, Textil – Freie, angewandte und experimentelle künstlerische Gestaltung",,"Studierende der Angewandten führen zu Abschlussarbeiten und Ausstellungen unterschiedlicher Abteilungen. Jeweils um 15:00 und 18:00 Uhr starten die Führungen beim Infopoint am Oskar-Kokoschka-Platz. Sie besuchen die verschiedenen Häuser der Angewandten und treffen auf Lehrende und Studierende, die über die Arbeiten erzählen. Um eine vorherige Anmeldung wird gebeten, aber auch spontane Gäste sind willkommen, sofern noch Plätze verfügbar sind. 
Anmeldung: angewandtefestival.at/anmeldung

Di, 28. Juni, 18:00 Uhr, Führung mit Gabriel Huth, Studierender der Abteilung Skulptur und Raum, zu Abschlussarbeiten und Ausstellungen der Abteilungen Konservierung & Restaurierung, Expanded Museum Studies und des Instituts für Kunstwissenschaften, Kunstpädagogik und Kunstvermittlung
","Angewandte students will be leading visitors to the theses and exhibitions of the various departments. The tours begin at 3:00 and 6:00 p.m. at the information point on Oskar-Kokoschka-Platz to visit the various buildings of the Angewandte and hear teachers and students talk about their work. Prior registration is requested, but spontaneous guests are also welcome, provided there are still places available.
Registration: appliedfestival.at/anmeldung

Tues., June 28, 6:00 p.m.: guided tour with Gabriel Huth, student of the Sculpture and Space department, to final theses and exhibitions of the Conservation & Restoration and Expanded Museum Studies departments, as well as the Institute of Art Sciences and Art Education 
",,,,,,,,,Beteiligte ,Gabriel Huth,Contributers,Gabriel Huth,,
107,24,Führungen durch die Ausstellungen der Abteilungen,,,2022-06-29,15:00,,Oskar-Kokoschka-Platz,,Start beim OKP Infopoint,,,,,Führung,"Kulturwissenschaften, Social Design, TransArts,  Gender Art Lab, Universitätsbibliothek",,"Studierende der Angewandten führen zu Abschlussarbeiten und Ausstellungen unterschiedlicher Abteilungen. Jeweils um 15:00 und 18:00 Uhr starten die Führungen beim Infopoint am Oskar-Kokoschka-Platz. Sie besuchen die verschiedenen Häuser der Angewandten und treffen auf Lehrende und Studierende, die über die Arbeiten erzählen. Um eine vorherige Anmeldung wird gebeten, aber auch spontane Gäste sind willkommen, sofern noch Plätze verfügbar sind. 
Anmeldung: angewandtefestival.at/anmeldung

Mi, 29. Juni, 15:00 Uhr, Führung mit Raky Josefine Wane, Studierende der Abteilung Cross-Disciplinary Strategies, zu Abschlussarbeiten und Ausstellungen der Abteilungen TransArts, Social Design, Gender Art Lab, in die Universitätsbibliothek der Angewandten und Besuch des Beitrags „Channel Clayton“ der Kulturwissenschaften 

","Angewandte students will be leading visitors to the theses and exhibitions of the various departments. The tours begin at 3:00 and 6:00 p.m. at the information point on Oskar-Kokoschka-Platz to visit the various buildings of the Angewandte and hear teachers and students talk about their work. Prior registration is requested, but spontaneous guests are also welcome, provided there are still places available.
Registration: appliedfestival.at/anmeldung

Wed., June 29, 3:00 p.m.: guided tour with Raky Josefine Wane, student of the Cross-Disciplinary Strategies department, to final theses and exhibitions of the TransArts and Social Design departments, as well as a visit to the Gender Art Lab, the University Library of the Angewandte, and the “Channel Clayton” contribution of the Cultural Studies department

",,,,,,,,,Beteiligte ,Raky Josefine Wane,Contributers,Raky Josefine Wane,,
